itemid,movies,actors
600,Daniel Defoe's Robinson Crusoe (1996),"['Pierce Brosnan', 'William Takaku', 'Polly Walker']"
601,For Whom the Bell Tolls (1943),"['Gary Cooper', 'Ingrid Bergman', 'Akim Tamiroff']"
602,An American in Paris (1951),"['Gene Kelly', 'Leslie Caron', 'Oscar Levant']"
603,Rear Window (1954),"['James Stewart', 'Grace Kelly', 'Wendell Corey']"
604,It Happened One Night (1934),"['Clark Gable', 'Claudette Colbert', 'Walter Connolly']"
605,Meet Me in St. Louis (1944),"['Judy Garland', ""Margaret O'Brien"", 'Mary Astor']"
606,All About Eve (1950),"['Bette Davis', 'Anne Baxter', 'George Sanders']"
607,Rebecca (1940),"['Laurence Olivier', 'Joan Fontaine', 'George Sanders']"
608,Spellbound (1945),"['Ingrid Bergman', 'Gregory Peck', 'Michael Chekhov']"
609,Father of the Bride (1950),"['Spencer Tracy', 'Joan Bennett', 'Elizabeth Taylor']"
610,Gigi (1958),"['Leslie Caron', 'Maurice Chevalier', 'Louis Jourdan']"
611,Laura (1944),"['Gene Tierney', 'Dana Andrews', 'Clifton Webb']"
612,Lost Horizon (1937),"['Ronald Colman', 'Jane Wyatt', 'Edward Everett Horton']"
613,My Man Godfrey (1936),"['William Powell', 'Carole Lombard', 'Alice Brady']"
614,Giant (1956),"['Elizabeth Taylor', 'Rock Hudson', 'James Dean']"
615,The 39 Steps (1935),"['Robert Donat', 'Madeleine Carroll', 'Lucie Mannheim']"
616,Night of the Living Dead (1968),"['Duane Jones', ""Judith O'Dea"", 'Karl Hardman']"
617,The Blue Angel Engel,"['Emil Jannings', 'Marlene Dietrich', 'Kurt Gerron']"
618,Picnic (1955),"['William Holden', 'Kim Novak', 'Betty Field']"
619,Extreme Measures (1996),"['Hugh Grant', 'Gene Hackman', 'Sarah Jessica Parker']"
620,The Chamber (1996),"[""Chris O'Donnell"", 'Gene Hackman', 'Faye Dunaway']"
621,King Davy Crockett (1955),"['Fess Parker', 'Buddy Ebsen', 'Basil Ruysdael']"
622,Swiss Family Robinson (1960),"['John Mills', 'Dorothy McGuire', 'James MacArthur']"
623,Angels in the Outfield (1994),"['Danny Glover', 'Brenda Fricker', 'Tony Danza']"
624,The Three Caballeros (1945),Unknow
625,The Sword in the Stone (1963),"['Sebastian Cabot', 'Karl Swenson', 'Rickie Sorensen']"
626,So Dear to My Heart (1949),Unknow
627,Robin Hood: Prince of Thieves (1991),"['Kevin Costner', 'Morgan Freeman', 'Mary Elizabeth Mastrantonio']"
628,Sleepers (1996),"['Kevin Bacon', 'Billy Crudup', 'Robert De Niro']"
629,Victor/Victoria (1982),"['Julie Andrews', 'James Garner', 'Robert Preston']"
630,The Great Race (1965),"['Jack Lemmon', 'Tony Curtis', 'Natalie Wood']"
631,The Crying Game (1992),"['Forest Whitaker', 'Miranda Richardson', 'Stephen Rea']"
632,Sophie's Choice (1982),"['Meryl Streep', 'Kevin Kline', 'Peter MacNicol']"
633,A Christmas Carol (1938),"['Reginald Owen', 'Gene Lockhart', 'Kathleen Lockhart']"
634,Microcosmos: Le peuple de l'herbe (1996),"['Jacques Perrin', 'Kristin Scott Thomas']"
635,The Fog (1980),"['Adrienne Barbeau', 'Jamie Lee Curtis', 'Janet Leigh']"
636,Escape from New York (1981),"['Kurt Russell', 'Lee Van Cleef', 'Ernest Borgnine']"
637,The Howling (1981),"['Dee Wallace', 'Patrick Macnee', 'Dennis Dugan']"
638,The Return of Martin Guerre Guerre,Unknow
639,The Tin Drum (Blechtrommel,"['Mario Adorf', 'Angela Winkler', 'David Bennent']"
640,The Cook the Thief His Wife & Her Lover (1989),"['Richard Bohringer', 'Michael Gambon', 'Helen Mirren']"
641,Paths of Glory (1957),"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']"
642,The Grifters (1990),"['Anjelica Huston', 'John Cusack', 'Annette Bening']"
643,The Innocent (1994),"['Kelsey Grammer', 'Polly Draper', 'Jeff Kober']"
644,The Thin Blue Line (1988),"['Randall Adams', 'David Harris', 'Gus Rose']"
645,Paris Is Burning (1990),"['Brooke Xtravaganza', 'André Christian', 'Dorian Corey']"
646,Once Upon a Time in the West (1969),"['Claudia Cardinale', 'Henry Fonda', 'Jason Robards']"
647,Ran (1985),"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']"
648,The Quiet Man (1952),"['John Wayne', ""Maureen O'Hara"", 'Barry Fitzgerald']"
649,Once Upon a Time in America (1984),"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']"
650,The Seventh Seal inseglet,"['Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe']"
651,Glory (1989),"['Matthew Broderick', 'Denzel Washington', 'Cary Elwes']"
652,Rosencrantz and Guildenstern Are Dead (1990),"['Gary Oldman', 'Tim Roth', 'Richard Dreyfuss']"
653,Touch of Evil (1958),"['Charlton Heston', 'Janet Leigh', 'Orson Welles']"
654,Chinatown (1974),"['Jack Nicholson', 'Faye Dunaway', 'John Huston']"
655,Stand by Me (1986),"['Wil Wheaton', 'River Phoenix', 'Corey Feldman']"
656,M (1931),"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']"
657,The Manchurian Candidate (1962),"['Frank Sinatra', 'Laurence Harvey', 'Janet Leigh']"
658,Pump Up the Volume (1990),"['Anthony Luke Lucero', 'Andy Romano', 'Keith Stuart Thayer']"
659,Arsenic and Old Lace (1944),"['Cary Grant', 'Priscilla Lane', 'Raymond Massey']"
660,Fried Green Tomatoes (1991),"['Kathy Bates', 'Mary Stuart Masterson', 'Mary-Louise Parker']"
661,High Noon (1952),"['Gary Cooper', 'Thomas Mitchell', 'Lloyd Bridges']"
662,Somewhere in Time (1980),['Unknow']
663,Being There (1979),"['Peter Sellers', 'Shirley MacLaine', 'Melvyn Douglas']"
664,Texas Paris (1984),"['Harry Dean Stanton', 'Sam Berry', 'Bernhard Wicki']"
665,Alien 3 (1992),"['Sigourney Weaver', 'Charles S. Dutton', 'Charles Dance']"
666,Blood For Dracula (Andy Warhol's Dracula) (1974),"['Joe Dallesandro', 'Udo Kier', 'Vittorio De Sica']"
667,Audrey Rose (1977),"['Marsha Mason', 'Anthony Hopkins', 'John Beck']"
668,Blood Beach (1981),"[""Patrick O'Riley"", 'Jessica Bayliss', 'Richard Wells']"
669,Body Parts (1991),"['Jeff Fahey', 'Lindsay Duncan', 'Kim Delaney']"
670,Body Snatchers (1993),"['Terry Kinney', 'Meg Tilly', 'Gabrielle Anwar']"
671,Bride of Frankenstein (1935),"['Boris Karloff', 'Colin Clive', 'Valerie Hobson']"
672,Candyman (1992),"['Virginia Madsen', 'Tony Todd', 'Xander Berkeley']"
673,Cape Fear (1962),"['Gregory Peck', 'Robert Mitchum', 'Polly Bergen']"
674,Cat People (1982),"['Nastassja Kinski', 'Malcolm McDowell', 'John Heard']"
675,eine Nosferatu (Nosferatu (1922),"['Max Schreck', 'Gustav von Wangenheim', 'Greta Schröder']"
676,The Crucible (1996),"['Daniel Day-Lewis', 'Winona Ryder', 'Paul Scofield']"
677,Fire on the Mountain (1996),"['Jerry Archbold', 'Fritz Benedict', 'Bill Bowerman']"
678,Volcano (1997),"['Tommy Lee Jones', 'Anne Heche', 'Gaby Hoffmann']"
679,Conan the Barbarian (1981),"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow']"
680,Kull the Conqueror (1997),"['Kevin Sorbo', 'Tia Carrere', 'Thomas Ian Griffith']"
681,Wishmaster (1997),"['Angus Scrimm', 'Ari Barak', 'Jake McKinnon']"
682,I Know What You Did Last Summer (1997),"['Jennifer Love Hewitt', 'Sarah Michelle Gellar', 'Ryan Phillippe']"
683,Rocket Man (1997),"['Harland Williams', 'Jessica Lundy', 'William Sadler']"
684,In the Line of Fire (1993),"['Clint Eastwood', 'John Malkovich', 'Rene Russo']"
685,Executive Decision (1996),"['Kurt Russell', 'Steven Seagal', 'Halle Berry']"
686,A Perfect World (1993),"['Kevin Costner', 'Clint Eastwood', 'Laura Dern']"
687,McHale's Navy (1997),"['Tom Arnold', 'Dean Stockwell', 'Debra Messing']"
688,Leave It to Beaver (1997),"['Christopher McDonald', 'Janine Turner', 'Cameron Finley']"
689,The Jackal (1997),"['Bruce Willis', 'Richard Gere', 'Sidney Poitier']"
690,Seven Years in Tibet (1997),"['Brad Pitt', 'David Thewlis', 'BD Wong']"
691,Dark City (1998),"['Rufus Sewell', 'William Hurt', 'Kiefer Sutherland']"
692,The American President (1995),"['Michael Douglas', 'Annette Bening', 'Martin Sheen']"
693,Casino (1995),"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']"
694,Persuasion (1995),"['Simon Russell Beale', 'Judy Cornwell', 'Felicity Dean']"
695,Kicking and Screaming (1995),"['Josh Hamilton', 'Samuel Gould', 'Catherine Kellner']"
696,City Hall (1996),"['Al Pacino', 'John Cusack', 'Bridget Fonda']"
697,The Basketball Diaries (1995),"['Leonardo DiCaprio', 'Lorraine Bracco', 'Marilyn Sokol']"
698,The Browning Version (1994),"['Albert Finney', 'Greta Scacchi', 'Matthew Modine']"
699,Little Women (1994),"['Winona Ryder', 'Gabriel Byrne', 'Trini Alvarado']"
700,Miami Rhapsody (1995),"['Sarah Jessica Parker', 'Gil Bellows', 'Antonio Banderas']"
701,Horrible Wonderful Riefenstahl,"['Leni Riefenstahl', 'Marlene Dietrich', 'Arnold Fanck']"
702,Barcelona (1994),"['Taylor Nichols', 'Chris Eigeman', 'Tushka Bergen']"
703,Widows' Peak (1994),"['Mia Farrow', 'Joan Plowright', 'Natasha Richardson']"
704,The House of the Spirits (1993),"['Maria Conchita Alonso', 'António Assunção', 'Julie Balloo']"
705,Singin' in the Rain (1952),"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']"
706,Bad Moon (1996),"['Mariel Hemingway', 'Michael Paré', 'Mason Gamble']"
707,Enchanted April (1991),"['Josie Lawrence', 'Miranda Richardson', 'Alfred Molina']"
708,Lies Sex Lies,"['James Spader', 'Andie MacDowell', 'Peter Gallagher']"
709,Strictly Ballroom (1992),"['Paul Mercurio', 'Tara Morice', 'Bill Hunter']"
710,Better Off Dead... (1985),"['John Cusack', 'David Ogden Stiers', 'Kim Darby']"
711,The Substance of Fire (1996),"['Tony Goldwyn', 'Benjamin Ungar', 'Timothy Hutton']"
712,Tin Men (1987),"['Richard Dreyfuss', 'Danny DeVito', 'Barbara Hershey']"
713,Othello (1995),"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh']"
714,Carrington (1995),"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']"
715,To Die For (1995),"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']"
716,Home for the Holidays (1995),"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']"
717,The Juror (1996),"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']"
718,In the Bleak Midwinter (1995),"['Richard Briers', 'Hetta Charnley', 'Joan Collins']"
719,Canadian Bacon (1994),"['John Candy', 'Alan Alda', 'Rhea Perlman']"
720,First Knight (1995),"['Sean Connery', 'Richard Gere', 'Julia Ormond']"
721,Mallrats (1995),"['Shannen Doherty', 'Jeremy London', 'Jason Lee']"
722,Nine Months (1995),"['Hugh Grant', 'Julianne Moore', 'Tom Arnold']"
723,Boys on the Side (1995),"['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore']"
724,Circle of Friends (1995),"[""Chris O'Donnell"", 'Minnie Driver', ""Geraldine O'Rawe""]"
725,Exit to Eden (1994),"['Dana Delany', 'Paul Mercurio', ""Rosie O'Donnell""]"
726,Fluke (1995),"['Samuel L. Jackson', 'Matthew Modine', 'Nancy Travis']"
727,Immortal Beloved (1994),"['Gary Oldman', 'Jeroen Krabbé', 'Isabella Rossellini']"
728,Junior (1994),"['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson']"
729,Nell (1994),"['Jodie Foster', 'Liam Neeson', 'Natasha Richardson']"
730,La) Queen Margot (Reine Margot (1994),"['Isabelle Adjani', 'Daniel Auteuil', 'Jean-Hugues Anglade']"
731,Corrina Corrina (1994),"['Noreen Hennessey', 'Lucy Webb', 'Erica Yohn']"
732,Dave (1993),"['Kevin Kline', 'Sigourney Weaver', 'Frank Langella']"
733,Go Fish (1994),"['V.S. Brodie', 'Guinevere Turner', 'T. Wendy McMillan']"
734,Made in America (1993),"['Whoopi Goldberg', 'Ted Danson', 'Will Smith']"
735,Philadelphia (1993),"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell']"
736,Shadowlands (1993),"['Julian Fellowes', 'Roddy Maude-Roxby', 'Michael Denison']"
737,Sirens (1994),"['Hugh Grant', 'Tara Fitzgerald', 'Sam Neill']"
738,Threesome (1994),"['Lara Flynn Boyle', 'Stephen Baldwin', 'Josh Charles']"
739,Pretty Woman (1990),"['Richard Gere', 'Julia Roberts', 'Ralph Bellamy']"
740,Jane Eyre (1996),"['Anna Paquin', 'Nic Knight', 'Nicola Howard']"
741,The Last Supper (1995),"['Annabeth Gish', 'Ron Perlman', 'Cameron Diaz']"
742,Ransom (1996),"['Mel Gibson', 'Rene Russo', 'Brawley Nolte']"
743,The Crow: City of Angels (1996),"['Vincent Perez', 'Mia Kirshner', 'Richard Brooks']"
744,Michael Collins (1996),"['Ian Hart', 'Julia Roberts', 'Richard Ingram']"
745,The Ruling Class (1972),"['Hugh Owens', 'Harry Andrews', 'Arthur Lowe']"
746,Real Genius (1985),"['Stacy Peralta', 'Daniel Ades', 'Andres Aybar']"
747,Benny & Joon (1993),"['Johnny Depp', 'Mary Stuart Masterson', 'Aidan Quinn']"
748,The Saint (1997),"['Val Kilmer', 'Elisabeth Shue', 'Rade Serbedzija']"
749,The MatchMaker (1997),"['Janeane Garofalo', ""David O'Hara"", ""Milo O'Shea""]"
750,Amistad (1997),"['Morgan Freeman', 'Nigel Hawthorne', 'Anthony Hopkins']"
751,Tomorrow Never Dies (1997),"['Pierce Brosnan', 'Jonathan Pryce', 'Michelle Yeoh']"
752,The Replacement Killers (1998),"['Chow Yun-Fat', 'Mira Sorvino', 'Michael Rooker']"
753,Burnt By the Sun (1994),"['Oleg Menshikov', 'Nikita Mikhalkov', 'Ingeborga Dapkunaite']"
754,Red Corner (1997),"['Richard Gere', 'Bai Ling', 'Bradley Whitford']"
755,Jumanji (1995),"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']"
756,Father of the Bride Part II (1995),"['Steve Martin', 'Diane Keaton', 'Martin Short']"
757,Across the Sea of Time (1995),"['Peter Reznick', 'John McDonough', 'Avi Hoffman']"
758,Lawnmower Man 2: Beyond Cyberspace (1996),Unknow
759,Fair Game (1995),"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']"
760,Screamers (1995),"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']"
761,Nick of Time (1995),"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']"
762,Beautiful Girls (1996),"['Matt Dillon', 'Noah Emmerich', 'Annabeth Gish']"
763,Happy Gilmore (1996),"['Adam Sandler', 'Christopher McDonald', 'Julie Bowen']"
764,If Lucy Fell (1996),"['Sarah Jessica Parker', 'Eric Schaeffer', 'Ben Stiller']"
765,Boomerang (1992),"['Eddie Murphy', 'Robin Givens', 'Halle Berry']"
766,Man of the Year (1995),"['Vivian Paxton', 'Claudette Sutherland', 'Michael Ornstein']"
767,The Addiction (1995),"['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra']"
768,Casper (1995),"['Chauncey Leopardi', 'Spencer Vrooman', 'Malachi Pearson']"
769,Congo (1995),"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']"
770,Devil in a Blue Dress (1995),"['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']"
771,Johnny Mnemonic (1995),"['Keanu Reeves', 'Dina Meyer', 'Ice-T']"
772,Kids (1995),"['Leo Fitzpatrick', 'Sarah Henderson', 'Justin Pierce']"
773,Mute Witness (1994),"['Marina Zudina', 'Fay Ripley', 'Evan Richards']"
774,The Prophecy (1995),"['Christopher Walken', 'Elias Koteas', 'Virginia Madsen']"
775,Something to Talk About (1995),"['Julia Roberts', 'Dennis Quaid', 'Robert Duvall']"
776,Three Wishes (1995),"['Patrick Swayze', 'Mary Elizabeth Mastrantonio', 'Joseph Mazzello']"
777,Castle Freak (1995),"['Jeffrey Combs', 'Barbara Crampton', 'Jonathan Fuller']"
778,Don Juan DeMarco (1995),"['Marlon Brando', 'Johnny Depp', 'Faye Dunaway']"
779,Drop Zone (1994),"['Wesley Snipes', 'Gary Busey', 'Yancy Butler']"
780,Dumb & Dumber (1994),"['Jim Carrey', 'Jeff Daniels', 'Lauren Holly']"
781,French Kiss (1995),"['Meg Ryan', 'Kevin Kline', 'Timothy Hutton']"
782,Little Odessa (1994),"['Tim Roth', 'Edward Furlong', 'Moira Kelly']"
783,Milk Money (1994),"['Melanie Griffith', 'Ed Harris', 'Michael Patrick Carter']"
784,Beyond Bedlam (1993),"['Craig Fairbrass', 'Elizabeth Hurley', 'Keith Allen']"
785,Only You (1994),"['Marisa Tomei', 'Robert Downey Jr.', 'Bonnie Hunt']"
786,The Perez Family (1995),"['Marisa Tomei', 'Alfred Molina', 'Anjelica Huston']"
787,Roommates (1995),"['Peter Falk', 'D.B. Sweeney', 'Julianne Moore']"
788,Relative Fear (1994),"['Darlanne Fluegel', 'Martin Neufeld', 'James Brolin']"
789,Swimming with Sharks (1995),"['Diane Kruger', 'Kiernan Shipka', 'Finn Jones']"
790,Tommy Boy (1995),"['Chris Farley', 'David Spade', 'Brian Dennehy']"
791,The Baby-Sitters Club (1995),"['Schuyler Fisk', 'Bre Blair', 'Rachael Leigh Cook']"
792,Bullets Over Broadway (1994),"['John Cusack', 'Dianne Wiest', 'Jennifer Tilly']"
793,Crooklyn (1994),"['Alfre Woodard', 'Delroy Lindo', 'David Patrick Kelly']"
794,It Could Happen to You (1994),"['Nicolas Cage', 'Bridget Fonda', 'Rosie Perez']"
795,Richie Rich (1994),"['Macaulay Culkin', 'John Larroquette', 'Edward Herrmann']"
796,Speechless (1994),"['Michael Keaton', 'Geena Davis', 'Christopher Reeve']"
797,Timecop (1994),"['Jean-Claude Van Damme', 'Mia Sara', 'Ron Silver']"
798,Bad Company (1995),"['Ellen Barkin', 'Laurence Fishburne', 'Frank Langella']"
799,Boys Life (1995),"['Michael Saucedo', 'Justin Urich', 'Travis Sher']"
800,In the Mouth of Madness (1995),"['Richard Pires', 'Phoenix West']"
801,The Air Up There (1994),"['Kevin Bacon', 'Charles Gitonga Maina', 'Yolanda Vazquez']"
802,Hard Target (1993),"['Chuck Pfarrer', 'Robert Apisa', 'Arnold Vosloo']"
803,Heaven & Earth (1993),"['Haing S. Ngor', 'Bussaro Sanruck', 'Supak Pititam']"
804,Jimmy Hollywood (1994),"['Joe Pesci', 'Christian Slater', 'Victoria Abril']"
805,Manhattan Murder Mystery (1993),"['Woody Allen', 'Diane Keaton', 'Jerry Adler']"
806,Menace II Society (1993),"['Tyrin Turner', 'Larenz Tate', 'June Kyoto Lu']"
807,Poetic Justice (1993),"['Khandi Alexander', 'Maya Angelou', 'Ché J. Avery']"
808,The Program (1993),"['James Caan', 'Halle Berry', 'Omar Epps']"
809,Rising Sun (1993),"['Sean Connery', 'Wesley Snipes', 'Harvey Keitel']"
810,The Shadow (1994),"['Alec Baldwin', 'John Lone', 'Penelope Ann Miller']"
811,Thirty-Two Short Films About Glenn Gould (1993),"['Colm Feore', 'Derek Keurvorst', 'Katya Ladan']"
812,Andre (1994),"['Tina Majorino', 'Chelsea Field', 'Shane Meier']"
813,The Celluloid Closet (1995),"['Lily Tomlin', 'Tony Curtis', 'Susie Bright']"
814,A Great Day in Harlem (1994),"['Quincy Jones', 'Dizzy Gillespie', 'Sonny Rollins']"
815,One Fine Day (1996),"['Michelle Pfeiffer', 'George Clooney', 'Mae Whitman']"
816,Candyman: Farewell to the Flesh (1995),"['Caroline Barclay', 'Michael Bergeron', 'Brianna Blanchard']"
817,Frisk (1995),"['Michael Gunther', 'Craig Chester', 'Michael Stock']"
818,Girl 6 (1996),"['Theresa Randle', 'Isaiah Washington', 'Spike Lee']"
819,Eddie (1996),"['Whoopi Goldberg', 'Frank Langella', 'Dennis Farina']"
820,Space Jam (1996),"['Michael Jordan', 'Wayne Knight', 'Theresa Randle']"
821,Mrs. Winterbourne (1996),"['Shirley MacLaine', 'Ricki Lake', 'Brendan Fraser']"
822,Faces (1968),"['John Marley', 'Gena Rowlands', 'Lynn Carlin']"
823,Mulholland Falls (1996),"['Nick Nolte', 'Melanie Griffith', 'Chazz Palminteri']"
824,The Great White Hype (1996),"['Samuel L. Jackson', 'Jeff Goldblum', 'Peter Berg']"
825,The Arrival (1996),"['Lindsay Crouse', 'Charlie Sheen', 'Richard Schiff']"
826,The Phantom (1996),"['Billy Zane', 'Kristy Swanson', 'Treat Williams']"
827,Daylight (1996),"['Sylvester Stallone', 'Amy Brenneman', 'Viggo Mortensen']"
828,Alaska (1996),"['Thora Birch', 'Vincent Kartheiser', 'Dirk Benedict']"
829,Fled (1996),"['Laurence Fishburne', 'Stephen Baldwin', 'Will Patton']"
830,Power 98 (1995),"['Karan Ashley', 'Johnny Yong Bosch', 'Steve Cardenas']"
831,Escape from L.A. (1996),"['Kurt Russell', 'A.J. Langer', 'Steve Buscemi']"
832,Bogus (1996),"['Whoopi Goldberg', 'Gérard Depardieu', 'Haley Joel Osment']"
833,Bulletproof (1996),"['Damon Wayans', 'Adam Sandler', 'James Caan']"
834,Halloween: The Curse of Michael Myers (1995),"['Donald Pleasence', 'Paul Rudd', 'Marianne Hagan']"
835,The Gay Divorcee (1934),"['Fred Astaire', 'Ginger Rogers', 'Alice Brady']"
836,Ninotchka (1939),"['Greta Garbo', 'Melvyn Douglas', 'Ina Claire']"
837,Meet John Doe (1941),"['Gary Cooper', 'Barbara Stanwyck', 'Edward Arnold']"
838,In the Line of Duty 2 (1987),"['Aaron Eckhart', 'Courtney Eaton', 'Ben McKenzie']"
839,Loch Ness (1995),"['Alastair Boyd', 'Ronnie Bremner', 'Ian Cameron']"
840,Last Man Standing (1996),"['Tim Allen', 'Nancy Travis', 'Hector Elizondo']"
841,The Glimmer Man (1996),"['Steven Seagal', 'Keenen Ivory Wayans', 'Bob Gunton']"
842,Pollyanna (1960),"['Hayley Mills', 'Jane Wyman', 'Richard Egan']"
843,The Shaggy Dog (1959),Unknow
844,Freeway (1996),"['Kiefer Sutherland', 'Reese Witherspoon', 'Bokeem Woodbine']"
845,That Thing You Do! (1996),"['Tom Everett Scott', 'Liv Tyler', 'Johnathon Schaech']"
846,To Gillian on Her 37th Birthday (1996),"['Peter Gallagher', 'Michelle Pfeiffer', 'Claire Danes']"
847,Looking for Richard (1996),"['Penelope Allen', 'Gordon MacDonald', 'Madison Arnold']"
848,My Murder (1944),"['Dick Powell', 'Claire Trevor', 'Anne Shirley']"
849,Days of Thunder (1990),"['Tom Cruise', 'Robert Duvall', 'Nicole Kidman']"
850,A Perfect Candidate (1996),"['Don Baker', 'Mark Goodin', 'Mark Merritt']"
851,Two or Three Things I Know About Her (1966),"['Jean-Luc Godard', 'Yves Beneyton', 'Juliet Berto']"
852,The Bloody Child (1996),"['Russ Little', 'Tinka Menkes', 'Robert Muller']"
853,Braindead (1992),"['Timothy Balme', 'Diana Peñalver', 'Elizabeth Moody']"
854,Bad Taste (1987),"['Terry Potter', ""Pete O'Herne"", 'Craig Smith']"
855,Diva (1981),"['Frédéric Andréi', 'Roland Bertin', 'Richard Bohringer']"
856,Night on Earth (1991),"['Gena Rowlands', 'Winona Ryder', 'Lisanne Falk']"
857,Paris Was a Woman (1995),"['Sonia Dresdel', 'Barbara White', 'Walter Fitzgerald']"
858,Amityville: Dollhouse (1996),"['Robin Thomas', 'Starr Andreeff', 'Allen Cutler']"
859,April Fool's Day (1986),"['Jay Baker', 'Pat Barlow', 'Lloyd Berry']"
860,The Believers (1987),"['Martin Sheen', 'Helen Shaver', 'Harley Cross']"
861,Nosferatu a Venezia (1986),"['Klaus Kinski', 'Barbara De Rossi', 'Yorgo Voyagis']"
862,Jingle All the Way (1996),"['Arnold Schwarzenegger', 'Sinbad', 'Phil Hartman']"
863,The Garden of Finzi-Contini Finzi-Contini,"['Lino Capolicchio', 'Dominique Sanda', 'Fabio Testi']"
864,My Fellow Americans (1996),"['Jack Lemmon', 'James Garner', 'Dan Aykroyd']"
865,The Ice Storm (1997),"['Kevin Kline', 'Joan Allen', 'Sigourney Weaver']"
866,Michael (1996),"['John Travolta', 'Andie MacDowell', 'William Hurt']"
867,The Whole Wide World (1996),"[""Vincent D'Onofrio"", 'Renée Zellweger', 'Ann Wedgeworth']"
868,Hearts and Minds (1996),"['Tin Chan', 'Chau Diem', 'Ngo Dinh Diem']"
869,Fools Rush In (1997),"['Matthew Perry', 'Salma Hayek', 'Jon Tenney']"
870,Touch (1997),"['LL Cool J', 'Gina Gershon', 'Conchata Ferrell']"
871,Vegas Vacation (1997),"['Chevy Chase', ""Beverly D'Angelo"", 'Randy Quaid']"
872,Love Jones (1997),"['Larenz Tate', 'Nia Long', 'Isaiah Washington']"
873,Picture Perfect (1997),"['Jennifer Aniston', 'Jay Mohr', 'Kevin Bacon']"
874,Career Girls (1997),"['Katrin Cartlidge', 'Lynda Steadman', 'Kate Byers']"
875,She's So Lovely (1997),"['Robin Wright', 'James Gandolfini', 'Susan Traylor']"
876,Money Talks (1997),"['Chris Tucker', 'Charlie Sheen', 'Heather Locklear']"
877,Excess Baggage (1997),"['Alicia Silverstone', 'Benicio Del Toro', 'Christopher Walken']"
878,That Darn Cat! (1997),"['Christina Ricci', 'Doug E. Doug', 'Dean Jones']"
879,The Peacemaker (1997),"['George Clooney', 'Nicole Kidman', 'Marcel Iures']"
880,Soul Food (1997),"['Vanessa Williams', 'Vivica A. Fox', 'Nia Long']"
881,Money Talks (1997),"['Chris Tucker', 'Charlie Sheen', 'Heather Locklear']"
882,Washington Square (1997),"['Jennifer Jason Leigh', 'Albert Finney', 'Maggie Smith']"
883,Telling Lies in America (1997),"['Kevin Bacon', 'Brad Renfro', 'Maximilian Schell']"
884,Year of the Horse (1997),"['Ralph Molina', ""Frank 'Pancho' Sampedro"", 'Billy Talbot']"
885,Phantoms (1998),"[""Peter O'Toole"", 'Rose McGowan', 'Joanna Going']"
886,A Life Less Ordinary (1997),"['Holly Hunter', 'Delroy Lindo', 'Dan Hedaya']"
887,Eve's Bayou (1997),"['Jurnee Smollett', 'Meagan Good', 'Samuel L. Jackson']"
888,One Night Stand (1997),"['Wesley Snipes', 'Nastassja Kinski', 'Kyle MacLachlan']"
889,The Tango Lesson (1997),"['Sally Potter', 'Morgane Maugran', 'Géraldine Maillet']"
890,Mortal Kombat: Annihilation (1997),"['Robin Shou', 'Talisa Soto', 'James Remar']"
891,Bent (1997),"['Mick Jagger', 'Clive Owen', 'Brian Webber']"
892,Flubber (1997),"['Robin Williams', 'Marcia Gay Harden', 'Christopher McDonald']"
893,For Richer or Poorer (1997),"['Tim Allen', 'Kirstie Alley', 'Jay O. Sanders']"
894,Home Alone 3 (1997),"['Alex D. Linz', 'Olek Krupa', 'Rya Kihlstedt']"
895,Scream 2 (1997),"['Jada Pinkett Smith', 'Omar Epps', 'Paulette Patterson']"
896,The Sweet Hereafter (1997),"['Ian Holm', 'Caerthan Banks', 'Sarah Polley']"
897,Time Tracers (1995),"['Rocky Patterson', 'TJ Myers', 'Tyler Mason']"
898,The Postman (1997),"['Kevin Costner', 'Will Patton', 'Larenz Tate']"
899,The Winter Guest (1997),"['Phyllida Law', 'Emma Thompson', 'Sheila Reid']"
